product_name,brand,declared_allergens,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,source_dataset
All-Bran Original,"Kellogg,Kellogg's",en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
kelloggs corn flakes,Kelloggs,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Rice Krispies,Kellogg’s,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
rice crispies,Kellogg’s,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Clotted Cream Ice Cream,Kelly’s,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Le Moelleux,Ker Cadélac,"en:eggs, en:gluten, en:milk",True,True,False,False,True,False,Declared allergens + Dietary restrictions
Madeleines moelleuses nature x 24 sachets de 25 g,Ker Cadélac,"en:eggs, en:gluten, en:milk, en:soybeans",True,True,False,True,True,False,Declared allergens + Dietary restrictions
Pure Irish Butter,Kerrygold,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Softer Butter,Kerrygold,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
"Kerrygold, original irische Butter aus Weidemilch","Kerrygold, Ornua Deutschland",en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
"Kerrgold extra XXL, ungesalzen","Kerrygold,Ornua Deutschland",en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Kerrygold extra Butter & Rapsöl - ungesalzen,"Kerrygold,Ornua Deutschland",en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Amora,Ketchup,,False,False,False,False,False,False,Dietary restrictions
Chips,Kettle,,False,False,False,False,False,False,Dietary restrictions
Lightly Salted Potato chips,Kettle,,False,False,False,False,False,False,Dietary restrictions
Sea Salt & Balsamic Vinegar Crisps,Kettle,,False,False,False,False,False,False,Dietary restrictions
Sea Salt & Crushed Black Peppercorns,Kettle Chips,,False,False,False,False,False,False,Dietary restrictions
Khayrat tranches.M,Khayrat,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
KIDDYLICIOUS Veggie Straws - saveur Légumes - 48g (4x12g),Kiddylicious,,False,False,False,False,False,False,Dietary restrictions
Salsa de Soja,Kikkoman,"en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Salsa di Soia,Kikkoman,"en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Salzreduzierte Sojasauce,Kikkoman,"en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Sauce soja sucrée,Kikkoman,"en:gluten, en:soybeans, en:sulphur-dioxide-and-sulphites",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Sojasauce,Kikkoman,"en:gluten, en:soybeans, en:gluten, en:soybeans, en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Teriyakisauce,"Kikkoman, Kikkoman - Kikkoman K.K.","en:gluten, en:soybeans, en:sulphur-dioxide-and-sulphites",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Kikkoman Sojasauce,"Kikkoman,Kikkoman - Kikkoman K.K.","en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Kinder Bueno,Kinder,"en:gluten, en:milk, en:nuts, en:soybeans",True,True,True,True,False,False,Declared allergens + Dietary restrictions
Kinder bueno White,Kinder,"en:gluten, en:milk, en:nuts, en:soybeans",True,True,True,True,False,False,Declared allergens + Dietary restrictions
Schokobons,Kinder,"en:milk, en:nuts, en:soybeans",False,True,True,True,False,False,Declared allergens + Dietary restrictions
kinder chocolate,Kinder,"en:milk, en:soybeans, en:milk, en:soybeans, en:palm",False,True,False,True,False,False,Declared allergens + Dietary restrictions
Kinder Country,"Kinder, Ferrero","en:gluten, en:milk, en:soybeans",True,True,False,True,False,False,Declared allergens + Dietary restrictions
Kinder Pinguin,"Kinder, Ferrero","en:eggs, en:gluten, en:milk, en:soybeans",True,True,False,True,True,False,Declared allergens + Dietary restrictions
Schoko-Bons,"Kinder, Ferrero","en:milk, en:nuts, en:soybeans",False,True,True,True,False,False,Declared allergens + Dietary restrictions
Tablette Kinder Chocolat Chocolat au Lait x16 -200g,"Kinder, Mixte","en:milk, en:soybeans",False,True,False,True,False,False,Declared allergens + Dietary restrictions
Kinder DUO,"Kinder,Ferrero","en:eggs, en:gluten, en:milk, en:soybeans",True,True,False,True,True,False,Declared allergens + Dietary restrictions
Kinder Délice 10-pack,"Kinder,Ferrero","en:eggs, en:gluten, en:milk, en:soybeans",True,True,False,True,True,False,Declared allergens + Dietary restrictions
50/50 Medium Bread,Kingsmill,"en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Soft White Bread,Kingsmill,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Kiri,Kiri,,False,False,False,False,False,False,Dietary restrictions
Kiri carré 12p,Kiri,,False,False,False,False,False,False,Dietary restrictions
Kiri carré 24p,Kiri,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Kiri carré 36,Kiri,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Kiri carré 8p,Kiri,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Kiri-Käse,Kiri,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Kiri® Crème 12 portions,Kiri,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Kiri® Crème 24 portions,Kiri,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Ancient Grains Probiotic Granola,Kirkland Signature,"en:gluten, en:nuts, en:soybeans",True,False,True,True,False,False,Declared allergens + Dietary restrictions
Organic Creamy Peanut Butter,Kirkland Signature,en:peanuts,False,False,True,False,False,False,Declared allergens + Dietary restrictions
Purified Drinking Water,Kirkland Signature,,False,False,False,False,False,False,Dietary restrictions
Spring Water,Kirkland Signature,,False,False,False,False,False,False,Dietary restrictions
Bouillon Légumes,Knorr,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Bouillon de Poule,Knorr,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Chicken Stock Pot 4 x,Knorr,en:chicken,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Chicken Stock Pot 8 x,Knorr,en:chicken,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Chicken stock cube,Knorr,"en:celery, en:chicken",False,False,False,False,False,False,Declared allergens + Dietary restrictions
Concentrated Vegetable Stock,Knorr,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Knorr All Purpose Seasoning Aromat,Knorr,"en:celery, en:gluten, en:milk",True,True,False,False,False,False,Declared allergens + Dietary restrictions
Knorr Soupe Déshydratée Forestière Champignons & Oignons 3 Portions,Knorr,"en:celery, en:eggs, en:gluten, en:milk, en:mustard, en:sesame-seeds",True,True,False,False,True,False,Declared allergens + Dietary restrictions
Les classiques - Velouté de 9 légumes,Knorr,"en:celery, en:milk",False,True,False,False,False,False,Declared allergens + Dietary restrictions
Secret d'arômes plein sud,Knorr,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Vegetable,Knorr,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Vegetable Stock cubes 8 x imp,Knorr,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Vegetable Stock cubes x,Knorr,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Knorr Soupe Minestrone à l'Huile d'Olive 104g 4 Portions,"Knorr, Unilever","en:celery, en:gluten",True,False,False,False,False,False,Declared allergens + Dietary restrictions
Viandox 160ml,Konrad,"en:celery, en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Smooth Crèmeux,Kraft,"en:peanuts, en:soybeans, en:select-roasted-peanuts",False,False,True,True,False,False,Declared allergens + Dietary restrictions
Petits coeurs chocolat,"Kraft Foods, LU, Mondelez","en:gluten, en:milk, en:nuts, en:soybeans",True,True,True,True,False,False,Declared allergens + Dietary restrictions
Chocolat au lait du Pays Alpin,"Kraft Foods, Milka","en:milk, en:nuts, en:soybeans",False,True,True,True,False,False,Declared allergens + Dietary restrictions
Philadelphia nature 300g,"Kraft, Kraft Foods, Mondelèz International, Philadelphia",en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Mayonesa sabor tradicional,"Kraft,Heinz",,False,False,False,False,False,False,Dietary restrictions
kefir,Krasnystaw,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Krisprolls,Krisprolls,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Krisprolls complets sans sucres ajoutés,Krisprolls,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
MAGGI KUB OR L'Original - 128g,"Kub or,Maggi,Maggi Kub or",en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
"Haferflocken, Blütenzarte Köllnflocken",Kölln,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Cornichons aigres-doux Recette Paysanne,Kûhne,en:mustard,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Röstzwiebeln,Kühne,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Houmous extra - Pois chiches français & graines de sésame,L'atelier Blini,en:sesame-seeds,False,False,False,False,False,False,Declared allergens + Dietary restrictions
La Belle Margarine 500g,LA BELLE 220da,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Fromage Produit laitiers,LA VACHE QUI RIT,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Jambon Végétal Fumé,LA VIE,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
La Vie Jambon Végétal,LA VIE,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Kéfir,LACTEL,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Thon entier à l’huile d’olive,LE SAVOUREUX,en:fish,False,False,False,False,False,True,Declared allergens + Dietary restrictions
LKK's PREMIUM DARK SOY SAUCE,LEE KUM KEE,"en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
PREMIUM SOY SAUCE,LEE KUM KEE,"en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Flocons avoine,LIDL,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Lidl Organic Dark Chocolate,LIDL,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Lightly salted tortilla,LIDL,,False,False,False,False,False,False,Dietary restrictions
Pâte à tartiner cacao noisettes bio,LIDL,"en:milk, en:nuts",False,True,True,False,False,False,Declared allergens + Dietary restrictions
